Time	Lat	Long	TTFF	Count	Commands	TxTries	ONT	DiskUsed	Files	I	V	Temperature	CTTemp	CTCond	AirmarAirTemp	AirmarWindDirection	AirmarWindSpeed	AirmarWindGust	AirmarHeading	AirmarAirFix	WBT_Status	WBT_Step	WBT_Min	WBT_dB	WBT_L00	WBT_L01	WBT_L02	WBT_L03	WBT_L04	WBT_L05	WBT_L06	WBT_L07	WBT_L08	WBT_L09	WBT_L10	WBT_L11	WBT_L12	WBT_L13	WBT_L14	WBT_L15	WBT_L16	WBT_L17	WBT_L18	WBT_L19
2024-06-22 18:08	63.76098	-68.544	12	0	0	0	10	0	0	0.007	13.4	21																																
2024-06-22 18:10	63.76098	-68.54403	12	1	0	1	10	0	0	0.007	13.4	20																																
2024-06-26 14:20	62.94687	-82.02987	12	1	0	3	10	0	0	0.007	13.6	7																																
2024-06-26 18:48	62.94813	-82.03068	11	0	0	0	10	0	0	0.009	13.5	14																																
2024-06-26 19:00	62.94807	-82.03107	11	2	0	3	320	0	0	0.007	13.4	13	2.728	15.77	2.1	0	0	0	0	0	0	4	3	-42	-34	-40	-46	-52																
2024-06-26 19:10	62.94801	-82.03083	12	3	0	1	320	0	0	0.007	13.5	12	1.497	23.68	2.5	0	1	1	0	0	0	4	3	-40	-34	-40	-40	-46																
2024-06-26 19:20	62.94798	-82.03119	11	4	0	1	320	0	0	0.007	13.5	11	1.572	24.39	2.6	0	0	0	0	0	0	4	3	-52	-46	-52	-58	-58																
2024-06-26 19:30	62.94798	-82.03119	11	5	1	1	10	0	0	0.007	13.5	10																																
2024-06-26 19:35	62.94798	-82.03119	11	6	0	3	10	0	0	0.007	13.5	10																																
2024-06-26 19:40	62.94798	-82.03125	12	7	0	1	10	0	0	0.007	13.6	9																																
2024-06-26 19:50	62.94798	-82.03128	12	9	0	3	10	0	0	0.007	13.6	9																																
2024-06-26 20:00	62.94801	-82.03134	12	11	0	3	10	0	0	0.007	13.7	8																																
